SITE,evap_anom,midsoil_anom,topsoil_anom,deepsoil_anom,Mean_cattle_density,s0_trend,sd_trend,ss_trend,e0_trend,c3_c4ratio,AHGF_FPC,Dryag_prop,Irriag_prop,racLdry_trend,EVItrend
1,0.028533142,-0.119914513,-0.108873884,0.010453844,5.29054,-0.036997128,-0.130206608,-0.384664607,-0.019411631,0.223722586,0.24149,0,0,0.244041332,-0.001013439
2,0.028533142,-0.119914513,-0.108873884,0.010453844,5.29054,-0.036997128,-0.130206608,-0.384664607,-0.019411631,0.223822202,0.24149,0,0,0.2349525,-0.000157166
3,0.028076473,-0.139110416,-0.100522759,0.002515321,6.362865,-0.024734329,-0.314453796,-0.662267345,-0.0208849,0.223725929,0.24149,0,0,-0.23472957,-0.000427051
4,0.028076473,-0.139110416,-0.100522759,0.002515321,6.362865,-0.024734329,-0.314453796,-0.662267345,-0.0208849,0.223677146,0.24149,0,0,-0.198825708,-0.000597459
5,0.028076473,-0.139110416,-0.100522759,0.002515321,6.362865,-0.024734329,-0.314453796,-0.662267345,-0.0208849,0.223755922,0.24149,0,0,-0.262020436,-0.000649551
6,0.028076473,-0.139110416,-0.100522759,0.002515321,6.362865,-0.024734329,-0.314453796,-0.662267345,-0.0208849,0.223736721,0.24149,0,0,-0.305792026,-0.00069551
7,0.028533142,-0.119914513,-0.108873884,0.010453844,5.29054,-0.036997128,-0.130206608,-0.384664607,-0.019411631,0.223850064,0.24149,0,0,-0.040498451,-0.000651095
8,0.030375196,-0.099098462,-0.119941633,0.009180312,15.11685,-0.035366863,-0.116476697,-0.717159307,-0.022961032,0.212581295,0.05568,0.03476049,0.059571412,-0.202031036,-0.000495394
9,0.030375196,-0.099098462,-0.119941633,0.009180312,15.11685,-0.035366863,-0.116476697,-0.717159307,-0.022961032,0.212644225,0.05568,0.03476049,0.059571412,0.139393336,-0.000358352
10,0.028544434,-0.146418953,-0.108948346,0.008294099,0.01245365,-0.033455726,-0.195806538,-0.399758835,-0.018423732,0.223604087,0.18233,0,0,0.034399375,-0.000425168
11,0.028544434,-0.146418953,-0.108948346,0.008294099,0.01245365,-0.033455726,-0.195806538,-0.399758835,-0.018423732,0.223509951,0.18233,0,0,0.034399375,0.000363848
12,0.030395003,-0.15444509,-0.107423971,-0.017276514,13.9329,-0.01757045,-0.330391189,-0.319031772,-0.0230443,0.206590355,0.14562,0.086368022,0,-0.082077602,-0.000621005
13,0.031959604,-0.130998158,-0.104546437,-0.031625706,2.607865,-0.000167942,-0.663517433,-0.28406624,-0.025789662,0.253864326,0.2172,0,0,0.467015128,-0.000536385
14,0.031959604,-0.130998158,-0.104546437,-0.031625706,2.607865,-0.000167942,-0.663517433,-0.28406624,-0.025789662,0.240511642,0.2172,0,0,0.774892442,-0.00046058
15,0.031003663,-0.172375991,-0.116999958,0.004688055,4.16175,-0.017536088,-0.17235279,-0.425640468,-0.017301251,0.220403641,0.10206,0.130485153,0,0.296138035,-0.000331307
16,0.031327557,-0.084831711,-0.098039673,-0.005187389,2.833435,0.003840869,-0.364428699,-0.303024163,-0.021130084,0.2318153,0.01347,0,0,-0.086604033,-0.00088943
17,0.031003663,-0.172375991,-0.116999958,0.004688055,4.16175,-0.017536088,-0.17235279,-0.425640468,-0.017301251,0.220429453,0.10206,0.130485153,0,-0.034327613,-0.000310868
18,0.031003663,-0.172375991,-0.116999958,0.004688055,4.16175,-0.017536088,-0.17235279,-0.425640468,-0.017301251,0.219913216,0.10206,0.130485153,0,-0.131192194,-0.0003584
19,0.029793277,-0.142505419,-0.093132243,-0.092195772,0.01226115,-0.012550106,-0.701362075,-0.237284851,-0.013988853,0.22550026,0.36057,0,0,-0.308170514,4.63E-05
20,0.031327557,-0.084831711,-0.098039673,-0.005187389,2.833435,0.003840869,-0.364428699,-0.303024163,-0.021130084,0.235209521,0.0475,0,0,-0.049506409,-0.00063121
21,0.031959604,-0.130998158,-0.104546437,-0.031625706,2.607865,-0.000167942,-0.663517433,-0.28406624,-0.025789662,0.235052928,0.01113,0,0,0.241970725,-0.001007615
22,0.033553306,-0.154918645,-0.098694078,-0.094475217,16.506,-0.010740747,-0.975300133,-0.408770902,-0.018768245,0.215343177,0.08658,0.001929318,0,-0.334563649,-0.000683566
23,0.031003663,-0.172375991,-0.116999958,0.004688055,4.16175,-0.017536088,-0.17235279,-0.425640468,-0.017301251,0.219866051,0.10206,0.130485153,0,0.306515865,-0.000688795
